Pos,Game,Year,Genre,Publisher, Copies Sold  (Millions) North America, Copies Sold  (Millions) Europe, Copies Sold  (Millions) Japan, Copies Sold  (Millions) Rest of countries, Copies Sold  (Millions) Global,plataforma
1,Grand Theft Auto V,2014.0,Action,Rockstar Games,4.7,3.25,0.01,0.76,8.72,Xbox One
2,Call of Duty: Black Ops 3,2015.0,Shooter,Activision,4.63,2.04,0.02,0.68,7.37,Xbox One
3,Call of Duty: WWII,2017.0,Shooter,Activision,3.75,1.91,0.0,0.57,6.23,Xbox One
4,Red Dead Redemption 2,2018.0,Action-Adventure,Rockstar Games,3.76,1.47,0.0,0.54,5.77,Xbox One
5,MineCraft,2014.0,Misc,Microsoft Studios,3.23,1.71,0.0,0.49,5.43,Xbox One
6,Call of Duty: Advanced Warfare,2014.0,Shooter,Activision,3.25,1.49,0.01,0.48,5.22,Xbox One
7,Battlefield 1,2016.0,Shooter,Electronic Arts,3.37,1.26,0.02,0.48,5.13,Xbox One
8,Fallout 4,2015.0,Role-Playing,Bethesda Softworks,2.94,1.62,0.02,0.45,5.03,Xbox One
9,Halo 5: Guardians,2015.0,Shooter,Microsoft Studios,2.94,1.49,0.03,0.45,4.92,Xbox One
10,Call of Duty: Infinite Warfare,2016.0,Shooter,Activision,2.91,1.44,0.0,0.44,4.79,Xbox One
11,Star Wars Battlefront (2015),2015.0,Shooter,Electronic Arts,2.49,1.26,0.02,0.38,4.15,Xbox One
12,Forza Horizon 3,2016.0,Racing,Microsoft Studios,1.64,1.96,0.02,0.32,3.93,Xbox One
13,FIFA 17,2016.0,Sports,Electronic Arts,1.04,2.4,0.0,0.27,3.71,Xbox One
14,Gears of War: Ultimate Edition,2015.0,Shooter,Microsoft Studios,2.88,0.37,0.0,0.37,3.62,Xbox One
15,Assassin's Creed: Unity,2014.0,Action,Ubisoft,2.34,0.9,0.0,0.34,3.58,Xbox One
16,Halo: The Master Chief Collection,2014.0,Shooter,Microsoft Studios,2.06,1.04,0.03,0.31,3.44,Xbox One
17,Destiny,2014.0,Shooter,Activision,2.17,0.92,0.0,0.32,3.41,Xbox One
18,Gears of War 4,2016.0,Shooter,Microsoft Studios,2.17,0.9,0.0,0.32,3.38,Xbox One
19,FIFA 16,2015.0,Sports,EA Sports,0.92,2.1,0.0,0.24,3.25,Xbox One
20,FIFA 18,2017.0,Sports,EA Sports,0.98,1.92,0.0,0.23,3.14,Xbox One
21,Titanfall,2014.0,Shooter,Electronic Arts,1.88,0.91,0.04,0.28,3.11,Xbox One
22,Call of Duty: Ghosts,2013.0,Shooter,Activision,1.92,0.86,0.0,0.28,3.07,Xbox One
23,Overwatch,2016.0,Shooter,Blizzard Entertainment,1.63,0.84,0.0,0.25,2.72,Xbox One
24,Tom Clancy's Rainbow Six: Siege,2015.0,Shooter,Ubisoft,1.62,0.84,0.0,0.25,2.71,Xbox One
25,Tom Clancy's The Division,2016.0,Shooter,Ubisoft,1.54,0.82,0.0,0.24,2.59,Xbox One
26,Assassin's Creed Origins,2017.0,Action,Ubisoft,1.34,0.92,0.0,0.22,2.47,Xbox One
27,Madden NFL 16,2015.0,Sports,EA Sports,2.13,0.08,0.0,0.26,2.47,Xbox One
28,Madden NFL 17,2016.0,Sports,EA Sports,2.14,0.04,0.0,0.26,2.44,Xbox One
29,NBA 2K16,2015.0,Sports,2K Sports,2.01,0.15,0.0,0.25,2.41,Xbox One
30,Forza Motorsport 5,2013.0,Racing,Microsoft Studios,1.28,0.9,0.01,0.21,2.4,Xbox One
31,Destiny 2,2017.0,Shooter,Activision,1.66,0.47,0.0,0.23,2.35,Xbox One
32,Assassin's Creed IV: Black Flag,2013.0,Action,Ubisoft,1.51,0.59,0.0,0.22,2.32,Xbox One
33,FIFA 15,2014.0,Sports,EA Sports,0.64,1.39,0.0,0.16,2.19,Xbox One
34,PlayerUnknown's Battlegrounds,2017.0,Shooter,Microsoft Studios,1.29,0.69,0.0,0.2,2.17,Xbox One
35,Battlefield 4,2013.0,Shooter,Electronic Arts,1.26,0.65,0.0,0.19,2.09,Xbox One
36,NBA 2K17,2016.0,Sports,2K Sports,1.7,0.12,0.0,0.21,2.04,Xbox One
37,Forza Motorsport 6,2015.0,Racing,Microsoft Studios,0.9,0.92,0.04,0.16,2.02,Xbox One
38,NBA 2K18,2017.0,Sports,2K Sports,1.67,0.14,0.0,0.21,2.02,Xbox One
39,Star Wars Battlefront II (2017),2017.0,Shooter,Electronic Arts,1.15,0.59,0.0,0.17,1.92,Xbox One
40,Madden NFL 18,2017.0,Sports,EA Sports,1.63,0.07,0.0,0.2,1.91,Xbox One
41,The Elder Scrolls V: Skyrim,2016.0,Role-Playing,Bethesda Softworks,1.13,0.53,0.0,0.17,1.83,Xbox One
42,Far Cry 5,2018.0,Action,Ubisoft,1.14,0.47,0.0,0.17,1.78,Xbox One
43,Mortal Kombat X,2015.0,Fighting,Warner Bros. Interactive Entertainment,1.34,0.23,0.0,0.18,1.74,Xbox One
44,NBA 2K15,2014.0,Sports,2K Sports,1.39,0.18,0.0,0.18,1.74,Xbox One
45,The Witcher 3: Wild Hunt,2015.0,Role-Playing,Namco Bandai Games,0.97,0.61,0.01,0.15,1.74,Xbox One
46,Far Cry 4,2014.0,Shooter,Ubisoft,0.85,0.68,0.02,0.14,1.68,Xbox One
47,Watch Dogs,2014.0,Action-Adventure,Ubisoft,0.91,0.59,0.0,0.15,1.64,Xbox One
48,Dead Rising 3,2013.0,Action,Microsoft Studios,1.06,0.4,0.01,0.15,1.63,Xbox One
49,Tom Clancy's Ghost Recon Wildlands,2017.0,Shooter,Ubisoft,0.98,0.48,0.0,0.15,1.61,Xbox One
50,Madden NFL 15,2014.0,Sports,EA Sports,1.34,0.1,0.0,0.17,1.6,Xbox One
51,Rise of the Tomb Raider,2015.0,Adventure,Square Enix,0.61,0.82,0.03,0.12,1.58,Xbox One
52,Batman: Arkham Knight,2015.0,Action,Warner Bros. Interactive Entertainment,0.97,0.46,0.0,0.14,1.58,Xbox One
53,Forza Motorsport 7,2017.0,Racing,Microsoft Studios,0.58,0.81,0.01,0.12,1.52,Xbox One
54,Dying Light,2015.0,Action,Warner Bros. Interactive Entertainment,1.01,0.31,0.01,0.14,1.47,Xbox One
55,Ryse,2013.0,Action,Microsoft Studios,0.84,0.49,0.0,0.13,1.47,Xbox One
56,Forza Horizon 2,2014.0,Racing,Microsoft Studios,0.56,0.79,0.01,0.11,1.46,Xbox One
57,Doom (2016),2016.0,Shooter,Bethesda Softworks,0.76,0.57,0.0,0.13,1.45,Xbox One
58,Assassin's Creed Syndicate,2015.0,Action,Ubisoft,0.71,0.61,0.0,0.12,1.44,Xbox One
59,Middle-Earth: Shadow of Mordor,2014.0,Action,Warner Bros. Interactive Entertainment,0.77,0.52,0.01,0.12,1.42,Xbox One
60,Rocket League,2016.0,Sports,505 Games,0.52,0.75,0.0,0.11,1.38,Xbox One
61,The Elder Scrolls Online,2015.0,MMO,Bethesda Softworks,0.86,0.39,0.0,0.13,1.38,Xbox One
62,Titanfall 2,2016.0,Shooter,Electronic Arts,0.88,0.37,0.0,0.13,1.37,Xbox One
63,Watch Dogs 2,2016.0,Action,Ubisoft,0.71,0.53,0.0,0.12,1.35,Xbox One
64,FIFA Soccer 14,2013.0,Sports,EA Sports,0.44,0.78,0.0,0.1,1.31,Xbox One
65,Destiny: The Taken King,2015.0,Shooter,Activision,0.91,0.23,0.0,0.12,1.27,Xbox One
66,Battlefield: Hardline,2015.0,Shooter,Electronic Arts,0.73,0.39,0.01,0.11,1.24,Xbox One
67,Sunset Overdrive,2014.0,Action,Microsoft Studios,0.64,0.42,0.0,0.1,1.16,Xbox One
68,Middle-Earth: Shadow of War,2017.0,Action,Warner Bros. Interactive Entertainment,0.75,0.29,0.0,0.11,1.15,Xbox One
69,Lego Marvel Super Heroes,2013.0,Action,Warner Bros. Interactive Entertainment,0.61,0.44,0.0,0.1,1.15,Xbox One
70,Final Fantasy XV,2016.0,Role-Playing,Square Enix,0.72,0.3,0.01,0.11,1.14,Xbox One
71,Mafia III,2016.0,Action-Adventure,2K Games,0.54,0.48,0.0,0.09,1.11,Xbox One
72,Diablo III,2014.0,Role-Playing,Blizzard Entertainment,0.62,0.32,0.0,0.09,1.04,Xbox One
73,Just Cause 3,2015.0,Action-Adventure,Square Enix,0.52,0.41,0.0,0.09,1.01,Xbox One
74,Far Cry: Primal,2016.0,Action-Adventure,Ubisoft,0.51,0.41,0.0,0.09,1.0,Xbox One
75,Dragon Age III: Inquisition,2014.0,Role-Playing,Electronic Arts,0.63,0.27,0.0,0.09,0.99,Xbox One
76,Sea of Thieves,2018.0,Action-Adventure,Microsoft Studios,0.6,0.27,0.0,0.09,0.96,Xbox One
77,NBA 2K14,2013.0,Sports,2K Sports,0.72,0.12,0.0,0.09,0.94,Xbox One
78,Monster Hunter: World,2018.0,Action,Capcom,0.67,0.17,0.0,0.09,0.93,Xbox One
79,Injustice 2,2017.0,Fighting,Warner Bros. Interactive Entertainment,0.65,0.16,0.0,0.09,0.89,Xbox One
80,Resident Evil VII: Biohazard,2017.0,Action,Capcom,0.51,0.3,0.0,0.08,0.89,Xbox One
81,For Honor,2017.0,Action,Ubisoft,0.57,0.21,0.0,0.08,0.87,Xbox One
82,Dishonored 2,2016.0,Action,Bethesda Softworks,0.47,0.31,0.0,0.08,0.86,Xbox One
83,Plants vs. Zombies: Garden Warfare 2,2016.0,Shooter,Electronic Arts,0.47,0.32,0.0,0.08,0.86,Xbox One
84,Madden NFL 25,2013.0,Sports,EA Sports,0.69,0.06,0.0,0.09,0.83,Xbox One
85,Metal Gear Solid V: The Phantom Pain,2015.0,Action,Konami Digital Entertainment,0.49,0.25,0.02,0.07,0.83,Xbox One
86,Guitar Hero Live,2015.0,Music,Activision,0.52,0.23,0.0,0.08,0.83,Xbox One
87,Dark Souls III,2016.0,Role-Playing,Namco Bandai Games,0.56,0.15,0.0,0.08,0.79,Xbox One
88,LEGO Jurassic World,2015.0,Action,Warner Bros. Interactive Entertainment,0.44,0.27,0.0,0.07,0.78,Xbox One
89,Rare Replay,2015.0,Misc,Microsoft Studios,0.42,0.27,0.01,0.07,0.78,Xbox One
90,Mass Effect: Andromeda,2017.0,Role-Playing,Electronic Arts,0.5,0.2,0.0,0.07,0.78,Xbox One
91,Minecraft: Story Mode,2015.0,Adventure,Mojang,0.46,0.24,0.0,0.07,0.77,Xbox One
92,Fortnite,2017.0,Action,Gearbox Software,0.6,0.09,0.0,0.08,0.77,Xbox One
93,Quantum Break,2016.0,Action,Microsoft Studios,0.42,0.25,0.02,0.07,0.76,Xbox One
94,Wolfenstein: The New Order,2014.0,Shooter,Bethesda Softworks,0.39,0.3,0.0,0.06,0.75,Xbox One
95,Rock Band 4,2015.0,Music,Harmonix Music Systems,0.62,0.05,0.0,0.08,0.75,Xbox One
96,Need for Speed (2015),2015.0,Racing,Electronic Arts,0.35,0.33,0.0,0.06,0.74,Xbox One
97,The Sims 4,2017.0,Simulation,Electronic Arts,0.42,0.24,0.0,0.07,0.73,Xbox One
98,Need for Speed: Payback,2017.0,Racing,Electronic Arts,0.42,0.24,0.0,0.07,0.73,Xbox One
99,Dead Rising 4,2016.0,Action-Adventure,Microsoft Studios,0.41,0.25,0.0,0.06,0.73,Xbox One
100,LEGO Dimensions,2015.0,Action,Warner Bros. Interactive Entertainment,0.47,0.18,0.0,0.07,0.72,Xbox One
101,The Crew,2014.0,Racing,Ubisoft,0.32,0.34,0.0,0.06,0.71,Xbox One
102,Plants vs Zombies: Garden Warfare,2014.0,Shooter,Electronic Arts,0.39,0.25,0.0,0.06,0.71,Xbox One
103,Need for Speed Rivals,2013.0,Racing,Electronic Arts,0.45,0.19,0.0,0.07,0.7,Xbox One
104,Wolfenstein II: The New Colossus,2017.0,Shooter,Bethesda Softworks,0.45,0.19,0.0,0.07,0.7,Xbox One
105,The Evil Within,2014.0,Misc,Bethesda Softworks,0.36,0.27,0.0,0.06,0.69,Xbox One
106,LEGO Worlds,2017.0,Misc,Warner Bros. Interactive Entertainment,0.28,0.35,0.0,0.05,0.69,Xbox One
107,Borderlands: The Handsome Collection,2015.0,Shooter,2K Games,0.49,0.13,0.0,0.07,0.68,Xbox One
108,Evolve,2015.0,Shooter,2K Games,0.4,0.2,0.0,0.06,0.67,Xbox One
109,WWE 2K18,2017.0,Sports,2K Sports,0.35,0.25,0.0,0.06,0.66,Xbox One
110,Tomb Raider (2013),2014.0,Action-Adventure,Square Enix,0.38,0.22,0.0,0.06,0.66,Xbox One
111,The LEGO Movie Videogame,2014.0,Action-Adventure,Warner Bros. Interactive Entertainment,0.42,0.17,0.0,0.06,0.65,Xbox One
112,WWE 2K16,2015.0,Sports,Take-Two Interactive,0.34,0.24,0.0,0.06,0.63,Xbox One
113,Kinect Sports Rivals,2014.0,Sports,Microsoft Studios,0.3,0.25,0.02,0.05,0.62,Xbox One
114,South Park: The Fractured But Whole,2017.0,Role-Playing,Ubisoft,0.4,0.17,0.0,0.06,0.62,Xbox One
115,WWE 2K15,2014.0,Sports,2K Sports,0.32,0.23,0.0,0.05,0.61,Xbox One
116,EA Sports UFC 2,2016.0,Sports,EA Sports,0.36,0.19,0.0,0.06,0.61,Xbox One
117,NHL 17,2016.0,Sports,EA Sports,0.52,0.01,0.0,0.06,0.6,Xbox One
118,Tekken 7,2017.0,Fighting,Namco Bandai Games,0.3,0.23,0.0,0.05,0.58,Xbox One
119,LEGO Marvel Super Heroes 2,2017.0,Action,Warner Bros. Interactive Entertainment,0.32,0.2,0.0,0.05,0.57,Xbox One
120,WWE 2K17,2016.0,Sports,2K Games,0.26,0.26,0.0,0.05,0.57,Xbox One
121,Disney Infinity 2.0: Marvel Super Heroes,2014.0,Action-Adventure,Disney Interactive Studios,0.35,0.15,0.0,0.05,0.55,Xbox One
122,Just Dance 2015,2014.0,Music,Ubisoft,0.36,0.13,0.0,0.05,0.54,Xbox One
123,Dragon Ball Fighter Z,2018.0,Fighting,Namco Bandai Games,0.38,0.09,0.0,0.05,0.52,Xbox One
124,Alien: Isolation,2014.0,Adventure,Sega,0.23,0.25,0.0,0.04,0.52,Xbox One
125,Halo Wars 2,2017.0,Strategy,Microsoft Studios,0.31,0.15,0.0,0.05,0.51,Xbox One
126,NHL 16,2015.0,Sports,EA Sports,0.41,0.05,0.0,0.05,0.51,Xbox One
127,Lego Star Wars: The Force Awakens,2016.0,Action-Adventure,Warner Bros. Interactive Entertainment,0.24,0.22,0.0,0.04,0.5,Xbox One
128,Mad Max (2013),2015.0,Action,Warner Bros. Interactive Entertainment,0.29,0.16,0.0,0.05,0.5,Xbox One
129,LEGO Marvel's Avengers,2016.0,Action,Warner Bros. Interactive Entertainment,0.26,0.18,0.0,0.04,0.48,Xbox One
130,Zoo Tycoon (2013),2013.0,Simulation,Microsoft Studios,0.25,0.18,0.0,0.04,0.48,Xbox One
131,Steep,2016.0,Sports,Ubisoft,0.24,0.2,0.0,0.04,0.48,Xbox One
132,Thief 4,2014.0,Action,Square Enix,0.26,0.17,0.0,0.04,0.48,Xbox One
133,Just Dance 2014,2013.0,Music,Ubisoft,0.31,0.12,0.0,0.04,0.48,Xbox One
134,EA Sports UFC,2014.0,Fighting,Electronic Arts,0.3,0.13,0.0,0.04,0.48,Xbox One
135,BioShock The Collection,2016.0,Shooter,2K Games,0.35,0.08,0.0,0.05,0.48,Xbox One
136,Dragon Ball: Xenoverse 2,2016.0,Action,Namco Bandai Games,0.33,0.09,0.0,0.05,0.47,Xbox One
137,ARK: Survival Evolved,2017.0,Action-Adventure,Studio Wildcard,0.3,0.12,0.0,0.04,0.46,Xbox One
138,Disney Infinity 3.0,2015.0,Action,Disney Interactive Studios,0.3,0.12,0.0,0.04,0.46,Xbox One
139,Prey (2017),2017.0,Shooter,Bethesda Softworks,0.21,0.2,0.0,0.04,0.45,Xbox One
140,Skylanders: Trap Team,2014.0,Platform,Activision,0.34,0.07,0.0,0.04,0.45,Xbox One
141,Lego Batman 3: Beyond Gotham,2014.0,Action,Warner Bros. Interactive Entertainment,0.24,0.17,0.0,0.04,0.44,Xbox One
142,EA Sports UFC 3,2018.0,Sports,EA Sports,0.3,0.1,0.0,0.04,0.44,Xbox One
143,Rocksmith 2014,2014.0,Music,Ubisoft,0.31,0.08,0.0,0.04,0.43,Xbox One
144,Sniper Elite 3,2014.0,Shooter,505 Games,0.27,0.12,0.0,0.04,0.43,Xbox One
145,Hello Neighbor,2017.0,Action,Gearbox Software,0.27,0.11,0.0,0.04,0.42,Xbox One
146,NHL 15,2014.0,Sports,EA Sports,0.32,0.06,0.0,0.04,0.42,Xbox One
147,Project CARS,2015.0,Racing,Bandai Namco Games,0.21,0.16,0.0,0.04,0.41,Xbox One
148,Destiny: The Collection,2016.0,Shooter,Activision,0.25,0.12,0.0,0.04,0.41,Xbox One
149,Skylanders: SuperChargers,2015.0,Action-Adventure,Activision,0.31,0.05,0.0,0.04,0.4,Xbox One
150,Deus Ex: Mankind Divided,2016.0,Role-Playing,Square Enix,0.25,0.11,0.0,0.04,0.39,Xbox One
151,NHL 18,2017.0,Sports,EA Sports,0.32,0.03,0.0,0.04,0.39,Xbox One
152,The Evil Within II,2017.0,Action,Bethesda Softworks,0.25,0.1,0.0,0.04,0.39,Xbox One
153,Rayman Legends,2014.0,Platform,Ubisoft,0.13,0.22,0.0,0.03,0.38,Xbox One
154,Just Dance 2016,2015.0,Music,Ubisoft,0.3,0.04,0.0,0.04,0.38,Xbox One
155,Skylanders SWAP Force,2013.0,Misc,Activision,0.25,0.07,0.0,0.03,0.35,Xbox One
156,Naruto Shippuden: Ultimate Ninja Storm 4,2016.0,Fighting,Namco Bandai Games,0.25,0.07,0.0,0.03,0.35,Xbox One
157,Dragon Ball: XenoVerse,2015.0,Fighting,Namco Bandai Games,0.21,0.11,0.0,0.03,0.35,Xbox One
158,Marvel vs. Capcom: Infinite,2017.0,Fighting,Capcom,0.26,0.05,0.0,0.03,0.34,Xbox One
159,Just Dance 2017,2016.0,Music,Ubisoft,0.25,0.05,0.0,0.03,0.34,Xbox One
160,The Lego Ninjago Movie Videogame,2017.0,Action,Warner Bros. Interactive Entertainment,0.21,0.09,0.0,0.03,0.33,Xbox One
161,The Crew 2,2018.0,Racing,Ubisoft,0.2,0.1,0.0,0.03,0.33,Xbox One
162,Farming Simulator 17,2016.0,Simulation,Focus Home Interactive,0.19,0.11,0.0,0.03,0.33,Xbox One
163,METRO 2033,2014.0,Shooter,Deep Silver,0.15,0.14,0.0,0.03,0.31,Xbox One
164,Hitman (2016),2017.0,Action,Square Enix,0.2,0.08,0.0,0.03,0.31,Xbox One
165,LEGO City Undercover,2017.0,Platform,Warner Bros. Interactive Entertainment,0.15,0.12,0.0,0.03,0.3,Xbox One
166,Final Fantasy Type-0,2015.0,Role-Playing,Square Enix,0.2,0.07,0.0,0.03,0.3,Xbox One
167,Sniper Elite 4,2017.0,Shooter,Rebellion Developments,0.18,0.09,0.0,0.03,0.3,Xbox One
168,Sonic Forces,2017.0,Platform,Sega,0.15,0.11,0.0,0.03,0.29,Xbox One
169,Dark Souls II,2015.0,Role-Playing,Namco Bandai Games,0.19,0.07,0.0,0.03,0.28,Xbox One
170,Battleborn,2016.0,Shooter,2K Games,0.2,0.05,0.0,0.03,0.28,Xbox One
171,Rory McIlroy PGA Tour,2015.0,Sports,Electronic Arts,0.16,0.09,0.0,0.02,0.28,Xbox One
172,Assassin's Creed The Ezio Collection,2016.0,Action,Ubisoft,0.13,0.12,0.0,0.02,0.27,Xbox One
173,LEGO The Hobbit,2014.0,Action-Adventure,Warner Bros. Interactive Entertainment,0.13,0.13,0.0,0.02,0.27,Xbox One
174,Metal Gear Solid: Ground Zeroes,2014.0,Action-Adventure,Konami Digital Entertainment,0.13,0.13,0.0,0.02,0.27,Xbox One
175,Minecraft: Story Mode - Season Two,2017.0,Adventure,Telltale Games,0.17,0.08,0.0,0.02,0.27,Xbox One
176,Skylanders Imaginators,2016.0,Platform,Activision,0.19,0.05,0.0,0.03,0.27,Xbox One
177,Friday the 13th: The Game,2017.0,Action,Gun Media,0.21,0.03,0.0,0.03,0.27,Xbox One
178,ReCore,2016.0,Action-Adventure,Microsoft Studios,0.16,0.06,0.01,0.02,0.26,Xbox One
179,F1 2015,2015.0,Racing,Codemasters,0.09,0.15,0.0,0.02,0.25,Xbox One
180,L.A. Noire,2017.0,Adventure,Rockstar Games,0.14,0.09,0.0,0.02,0.25,Xbox One
181,Trials Fusion,2014.0,Racing,Ubisoft,0.12,0.1,0.0,0.02,0.25,Xbox One
182,Call of Duty: Modern Warfare Remastered,2017.0,Shooter,Activision,0.16,0.06,0.0,0.02,0.24,Xbox One
183,Zumba Fitness: World Party,2013.0,Misc,Majesco Entertainment,0.17,0.05,0.0,0.02,0.24,Xbox One
184,Saints Row IV,2015.0,Action,Deep Silver,0.13,0.09,0.0,0.02,0.24,Xbox One
185,Farming Simulator 2015,2015.0,Simulation,Koch Media,0.13,0.09,0.0,0.02,0.24,Xbox One
186,A Way Out,2018.0,Action,Electronic Arts,0.17,0.05,0.0,0.02,0.24,Xbox One
187,NBA Live 14,2013.0,Sports,EA Sports,0.19,0.02,0.0,0.02,0.24,Xbox One
188,Payday 2,2015.0,Shooter,505 Games,0.14,0.07,0.0,0.02,0.23,Xbox One
189,DiRT 4,2017.0,Racing,Codemasters,0.11,0.1,0.0,0.02,0.23,Xbox One
190,NBA Live 15,2014.0,Sports,Electronic Arts,0.18,0.02,0.0,0.02,0.22,Xbox One
191,F1 2016 (Codemasters),2016.0,Racing,Codemasters,0.09,0.12,0.0,0.02,0.22,Xbox One
